"BehaviorSpace results (NetLogo 6.2.0)"
"model.nlogo"
"av_dur_mov_center"
"06/26/2021 15:59:33:409 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","35"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20"
"nr_ants","80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,,"80",,,,
"nr_small","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"nr_medium","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"nr_large","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"nr_prepupae","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"nr_pupae","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"vision","6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,,"6",,,,
"initial_placing","center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,,"center",,,,
"max_tiredness","25",,,,,"25",,,,,"25",,,,,"25",,,,,"25",,,,,"50",,,,,"50",,,,,"50",,,,,"50",,,,,"50",,,,,"75",,,,,"75",,,,,"75",,,,,"75",,,,,"75",,,,,"100",,,,,"100",,,,,"100",,,,,"100",,,,,"100",,,,
"scent_range","12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,,"12",,,,
"pheromone_diffusion","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"cd_small","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"cd_medium","3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,,"3.5",,,,
"cd_large","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"cd_prepupae","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"cd_pupae","2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,,"2.5",,,,
"speed","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
